,API,Lease_Name,Production_type,Production_Status,Drilling_Type,First_Production_Day,Cum_Oil,Cum_Gas,Cum_water,Lat,Long,Lateral Length,Spud_Date,Completion_Date,Well_Number,Upper_Perforation,Lower_Perforation,Reservoir,operator ,Cum_BOE
0,4230132426,THRESHER 55-1-12 UNIT A 15H,PERMIT,OPEN SHUT IN,H,4/1/2018,9091.0,13875.0,0.0,31.98139572,-103.71017459999999,9087.05957,1/31/2018,,,0,0,,,11403.50012
1,4230132426,THRESHER 55-1-12 UNIT A 15H,PERMIT,OPEN SHUT IN,H,4/1/2018,9091.0,13875.0,0.0,31.98139572,-103.71017459999999,9087.05957,1/31/2018,3/18/2018,15H,0,0,,ANADARKO E&P ONSHORE LLC,11403.50012
2,4230132427,THRESHER 55-1-12 UNIT A 16H,OIL,Active,H,4/1/2018,9091.0,13875.0,0.0,31.98139381,-103.710083,9079.295898,2/11/2018,,,0,0,,,11403.50012
3,4230132427,THRESHER 55-1-12 UNIT A 16H,OIL,Active,H,4/1/2018,9091.0,13875.0,0.0,31.98139381,-103.710083,9079.295898,2/11/2018,3/5/2018,16H,0,0,,ANADARKO E&P ONSHORE LLC,11403.50012
4,4230132937,UNIVERSITY 20 PW UNIT 2003H,OIL,Active,H,4/1/2018,833113.0,988451.0,0.0,31.68688774,-103.33529659999999,8038.0,12/18/2017,9/18/2016,2003H,0,0,WOLFCAMP,SHELL WESTERN E&P,997854.8398
5,4230132937,UNIVERSITY 20 PW UNIT 2003H,OIL,Active,H,4/1/2018,833113.0,988451.0,0.0,31.68688774,-103.33529659999999,8038.0,12/18/2017,12/18/2017,2003H,0,0,WOLFCAMP,SHELL WESTERN E&amp;P,997854.8398
6,4230132937,UNIVERSITY 20 PW UNIT 2003H,OIL,Active,H,4/1/2018,833113.0,988451.0,0.0,31.68688774,-103.33529659999999,8038.0,12/18/2017,3/9/2018,2003ST,11812,19508,WOLFCAMP,SHELL WESTERN E&P,997854.8398
7,4230132973,WAR ADMIRAL 28-4 UNIT D 1H 1H,OIL,Active,H,9/1/2018,228666.0,318442.0,0.0,31.84419441,-103.3725891,11127.969729999999,7/12/2018,9/21/2018,1H,12689,22769,WOLFCAMP,ANADARKO E&P ONSHORE LLC,281739.6719
8,4230132973,WAR ADMIRAL 28-4 UNIT D 1H 1H,OIL,Active,H,9/1/2018,228666.0,318442.0,0.0,31.84419441,-103.3725891,11127.969729999999,7/12/2018,,,0,0,,,281739.6719
9,4230132972,GINGER 29 2H,OIL,Active,H,6/1/2018,38844.0,94464.0,420032.0,31.77046585,-103.48295590000001,5399.687011999999,4/19/2018,6/29/2018,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",54587.999970000004
10,4230132972,GINGER 29 2H,OIL,Active,H,6/1/2018,38844.0,94464.0,420032.0,31.77046585,-103.48295590000001,5399.687011999999,4/19/2018,6/29/2018,2H,12116,16544,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",54587.999970000004
11,4230132972,GINGER 29 2H,OIL,Active,H,6/1/2018,38844.0,94464.0,420032.0,31.77046585,-103.48295590000001,5399.687011999999,4/19/2018,,,0,0,,,54587.999970000004
12,4230133119,ST. LUCIA 76 2833 21H,OIL,Active,H,11/1/2018,194647.0,261047.0,504173.0,31.94273186,-103.5596695,10957.94727,12/5/2017,6/4/2018,21H,0,0,WOLFCAMP,XTO ENERGY INC.,238154.8413
13,4230133119,ST. LUCIA 76 2833 21H,OIL,Active,H,11/1/2018,194647.0,261047.0,504173.0,31.94273186,-103.5596695,10957.94727,12/5/2017,,,0,0,,,238154.8413
14,4230133119,ST. LUCIA 76 2833 21H,OIL,Active,H,11/1/2018,194647.0,261047.0,504173.0,31.94273186,-103.5596695,10957.94727,12/5/2017,11/8/2018,21H,12583,22573,,XTO ENERGY INC.,238154.8413
15,4230133150,ST. LUCIA 76 2833 13H,OIL,Active,H,5/1/2018,57395.25,289474.0,153608.0,31.94212914,-103.56283570000001,10779.98242,3/9/2018,,,0,0,,,105640.9153
16,4230133150,ST. LUCIA 76 2833 13H,OIL,Active,H,5/1/2018,57395.25,289474.0,153608.0,31.94212914,-103.56283570000001,10779.98242,3/9/2018,5/7/2018,13H,0,0,,XTO ENERGY INC.,105640.9153
17,4230133149,NOAH BRUNSON B UNIT 4H,OIL,Active,H,7/1/2018,159909.0,269781.0,362410.0,31.97447777,-103.4637833,9876.291992,12/21/2017,7/20/2018,4H,12973,21656,WOLFCAMP,"EOG RESOURCES, INC.",204872.49800000002
18,4230133149,NOAH BRUNSON B UNIT 4H,OIL,Active,H,7/1/2018,159909.0,269781.0,362410.0,31.97447777,-103.4637833,9876.291992,12/21/2017,,,0,0,,,204872.49800000002
21,4230133146,NOAH BRUNSON A UNIT 4H,OIL,Active,H,7/1/2018,148659.0,258800.0,342508.0,31.97317314,-103.468544,10276.7168,1/5/2018,,,0,0,,,191792.33399999997
22,4230133146,NOAH BRUNSON A UNIT 4H,OIL,Active,H,7/1/2018,148659.0,258800.0,342508.0,31.97317314,-103.468544,10276.7168,1/5/2018,7/22/2018,4H,12938,22669,,"EOG RESOURCES, INC.",191792.33399999997
